date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:10:41	81/81	---M--	401	error ('Unauthorized')	text/html	date:Mon,%2020%20May%202024%2016:10:42%20GMT	https://myu.helwan.edu.eg/robots.txt		(from )
18:10:42	22449/22449	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20May%202024%2016:10:43%20GMT	https://myu.helwan.edu.eg/	myu.helwan.edu.eg/index.html	(from )
18:10:42	366/366	---M--	200	added ('OK')	application/json	date:Mon,%2020%20May%202024%2016:10:43%20GMT	https://myu.helwan.edu.eg/manifest.json	myu.helwan.edu.eg/manifest.json	(from https://myu.helwan.edu.eg/)
18:10:43	16057/16057	---M--	200	added ('OK')	image/png	etag:%223eb9-611549b0dd25c%22	https://myu.helwan.edu.eg/static/images/logo_icon.png	myu.helwan.edu.eg/static/images/logo_icon.png	(from https://myu.helwan.edu.eg/)
18:10:44	19254/19254	---M--	200	added ('OK')	image/png	etag:%224b36-61302aa685f6a%22	https://myu.helwan.edu.eg/static/images/icons/splash-640x1136.png	myu.helwan.edu.eg/static/images/icons/splash-640x1136.png	(from https://myu.helwan.edu.eg/)
18:10:45	20970/20970	---M--	200	added ('OK')	image/png	etag:%2251ea-611549b20121b%22	https://myu.helwan.edu.eg/static/images/icons/splash-750x1334.png	myu.helwan.edu.eg/static/images/icons/splash-750x1334.png	(from https://myu.helwan.edu.eg/)
18:10:46	30134/30134	---M--	200	added ('OK')	image/png	etag:%2275b6-611549b20121b%22	https://myu.helwan.edu.eg/static/images/icons/splash-1242x2208.png	myu.helwan.edu.eg/static/images/icons/splash-1242x2208.png	(from https://myu.helwan.edu.eg/)
18:10:47	36047/36047	---M--	200	added ('OK')	image/png	etag:%228ccf-611549b20027b%22	https://myu.helwan.edu.eg/static/images/icons/splash-1125x2436.png	myu.helwan.edu.eg/static/images/icons/splash-1125x2436.png	(from https://myu.helwan.edu.eg/)
18:10:48	24221/24221	---M--	200	added ('OK')	image/png	etag:%225e9d-611549b20027b%22	https://myu.helwan.edu.eg/static/images/icons/splash-828x1792.png	myu.helwan.edu.eg/static/images/icons/splash-828x1792.png	(from https://myu.helwan.edu.eg/)
18:10:49	33765/33765	---M--	200	added ('OK')	image/png	etag:%2283e5-611549b20121b%22	https://myu.helwan.edu.eg/static/images/icons/splash-1242x2688.png	myu.helwan.edu.eg/static/images/icons/splash-1242x2688.png	(from https://myu.helwan.edu.eg/)
18:10:50	31551/31551	---M--	200	added ('OK')	image/png	etag:%227b3f-61302aa68308a%22	https://myu.helwan.edu.eg/static/images/icons/splash-1536x2048.png	myu.helwan.edu.eg/static/images/icons/splash-1536x2048.png	(from https://myu.helwan.edu.eg/)
18:10:51	34491/34491	---M--	200	added ('OK')	image/png	etag:%2286bb-611549b20027b%22	https://myu.helwan.edu.eg/static/images/icons/splash-1668x2224.png	myu.helwan.edu.eg/static/images/icons/splash-1668x2224.png	(from https://myu.helwan.edu.eg/)
18:10:52	35903/35903	---M--	200	added ('OK')	image/png	etag:%228c3f-5fd9ba2193caa%22	https://myu.helwan.edu.eg/static/images/icons/splash-1668x2388.png	myu.helwan.edu.eg/static/images/icons/splash-1668x2388.png	(from https://myu.helwan.edu.eg/)
18:10:53	43341/43341	---M--	200	added ('OK')	image/png	etag:%22a94d-611549b20121b%22	https://myu.helwan.edu.eg/static/images/icons/splash-2048x2732.png	myu.helwan.edu.eg/static/images/icons/splash-2048x2732.png	(from https://myu.helwan.edu.eg/)
18:10:55	2849/2849	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2020%20May%202024%2016:10:55%20GMT	https://myu.helwan.edu.eg/serviceworker.js	myu.helwan.edu.eg/serviceworker.js	(from https://myu.helwan.edu.eg/)
18:10:55	81/81	---M--	401	error ('Unauthorized')	text/html	date:Mon,%2020%20May%202024%2016:10:56%20GMT	https://myu.helwan.edu.eg/images/logo_icon.png	myu.helwan.edu.eg/images/logo_icon.d.delayed	(from https://myu.helwan.edu.eg/)
18:10:56	1582/1582	---M-Z	200	added ('OK')	text/css	etag:%2262e-5fd9ba2190dca-gzip%22	https://myu.helwan.edu.eg/static/plugins/humane/themes/original.css	myu.helwan.edu.eg/static/plugins/humane/themes/original.css	(from https://myu.helwan.edu.eg/)
18:10:57	6651/6651	---M-Z	200	added ('OK')	text/css	etag:%2219fb-611549b0e5efb-gzip%22	https://myu.helwan.edu.eg/static/plugins/pace/pace.css	myu.helwan.edu.eg/static/plugins/pace/pace.css	(from https://myu.helwan.edu.eg/)
18:10:58	102641/102641	---M-Z	200	added ('OK')	text/css	etag:%22190f1-61302aa5ee994-gzip%22	https://myu.helwan.edu.eg/static/plugins/fontawesome-6.5.1/css/all.min.css	myu.helwan.edu.eg/static/plugins/fontawesome-6.5.1/css/all.min.css	(from https://myu.helwan.edu.eg/)
18:10:59	153182/153182	---M-Z	200	added ('OK')	text/css	etag:%222565e-611549b1fe33b-gzip%22	https://myu.helwan.edu.eg/static/plugins/bootstrap4/css/bootstrap.min.css	myu.helwan.edu.eg/static/plugins/bootstrap4/css/bootstrap.min.css	(from https://myu.helwan.edu.eg/)
18:11:00	981/981	---M-Z	200	added ('OK')	text/css	etag:%223d5-61302aa57487b-gzip%22	https://myu.helwan.edu.eg/static/plugins/amaranjs/jquery.amaran.css	myu.helwan.edu.eg/static/plugins/amaranjs/jquery.amaran.css	(from https://myu.helwan.edu.eg/)
